2017-10-20T07:40:57.502Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:10:57 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=34516992, heapTotal=27799552, heapUsed=23498936, external=3506644, loadavg=[0, 0, 0], uptime=262089.7068209, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:59:55.363Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:29:55 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=38690816, heapTotal=28848128, heapUsed=23903456, external=3645908, loadavg=[0, 0, 0], uptime=263227.5687599, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:00:03.632Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:30:03 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=38928384, heapTotal=28848128, heapUsed=24461456, external=4170196, loadavg=[0, 0, 0], uptime=263235.8373928, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:10:42.759Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:40:42 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=40660992, heapTotal=29372416, heapUsed=24944120, external=4439432, loadavg=[0, 0, 0], uptime=263874.9618197, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:11:35.641Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:41:35 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=47726592, heapTotal=29896704, heapUsed=26058152, external=10009992, loadavg=[0, 0, 0], uptime=263927.8451367, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:18:40.387Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:48:40 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=45105152, heapTotal=30420992, heapUsed=26528336, external=7259844, loadavg=[0, 0, 0], uptime=264352.5912218, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:19:48.576Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:49:48 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=43483136, heapTotal=30420992, heapUsed=26722024, external=6166232, loadavg=[0, 0, 0], uptime=264420.7816119, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:19:56.932Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:49:56 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=43552768, heapTotal=30945280, heapUsed=26442440, external=6017024, loadavg=[0, 0, 0], uptime=264429.1373038, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:20:04.823Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:50:04 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=46845952, heapTotal=30945280, heapUsed=27044032, external=8515584, loadavg=[0, 0, 0], uptime=264437.0258109, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:25:29.920Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:55:29 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=45871104, heapTotal=31469568, heapUsed=27340296, external=7076156, loadavg=[0, 0, 0], uptime=264762.1258463, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:27:04.307Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:57:04 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=57376768, heapTotal=31469568, heapUsed=22894416, external=1946700, loadavg=[0, 0, 0], uptime=264856.5133054, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:27:05.782Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:57:05 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=61575168, heapTotal=31469568, heapUsed=23748392, external=242764, loadavg=[0, 0, 0], uptime=264857.9863431, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:28:00.585Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:58:00 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=54771712, heapTotal=31993856, heapUsed=23842648, external=635980, loadavg=[0, 0, 0], uptime=264912.7898946, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:34:55.948Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 14:04:55 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=52178944, heapTotal=31993856, heapUsed=23920408, external=504935, loadavg=[0, 0, 0], uptime=265328.1524472, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:36:31.820Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 14:06:31 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=50302976, heapTotal=31993856, heapUsed=24337512, external=769416, loadavg=[0, 0, 0], uptime=265424.0252866, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T18:05:49.607Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 23:35:49 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=18145280, heapTotal=31993856, heapUsed=24614440, external=968388, loadavg=[0, 0, 0], uptime=299581.8005804, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
